step,predator_0,prey_0
1,1,20
2,1,20
3,1,20
4,1,20
5,1,20
6,1,20
7,1,20
8,1,20
9,1,21
10,1,23
11,1,23
12,1,23
13,1,23
14,1,23
15,1,23
16,1,23
17,1,23
18,1,23
19,1,25
20,1,27
21,1,27
22,1,27
23,1,27
24,1,28
25,1,28
26,1,28
27,1,28
28,1,28
29,1,29
30,1,31
31,1,32
32,1,31
33,1,31
34,1,33
35,1,34
36,1,34
37,1,34
38,1,34
39,1,34
40,1,35
41,1,36
42,1,36
43,1,36
44,1,37
45,1,38
46,1,38
47,1,38
48,1,38
49,1,38
50,1,39
51,1,41
52,1,42
53,1,42
54,1,43
55,1,43
56,1,45
57,1,45
58,1,45
59,1,44
60,1,44
61,1,45
62,1,46
63,1,46
64,1,45
65,1,46
66,1,49
67,1,50
68,1,48
69,1,47
70,1,47
71,1,50
72,1,51
73,1,51
74,1,50
75,1,51
76,1,52
77,0,52
